SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
1.52,1,0.663716814159292,0.71,1.0,0.19,0.27,0.0,1.0,0.04,0.04,0.83,0.78,0.31,0.45,0.67,0.22,0.66
1.52,2,0.33628318584070804,0.71,1.0,0.19,0.27,0.0,1.0,0.04,0.04,0.83,0.78,0.31,0.45,0.67,0.22,0.66
0.69,1,0.8130081300813008,0.41,0.0,0.0,0.2,0.53,0.8,0.53,0.8,0.0,0.8,1.0,1.0,0.41,0.53,0.64
0.69,2,0.1869918699186992,0.41,0.0,0.0,0.2,0.53,0.8,0.53,0.8,0.0,0.8,1.0,1.0,0.41,0.53,0.64
0.21,1,0.9345794392523364,0.02,0.03,0.03,0.75,0.05,0.68,0.37,0.75,0.0,0.75,0.0,0.0,0.02,0.02,0.8
0.21,2,0.06542056074766356,0.02,0.03,0.03,0.75,0.05,0.68,0.37,0.75,0.0,0.75,0.0,0.0,0.02,0.02,0.8
1.24,1,0.7075471698113207,0.28,0.45,0.5,1.0,0.19,0.38,0.08,1.0,0.04,1.0,0.04,0.0,0.28,0.28,0.74
1.24,2,0.2924528301886793,0.28,0.45,0.5,1.0,0.19,0.38,0.08,1.0,0.04,1.0,0.04,0.0,0.28,0.28,0.74
1.69,1,0.6396588486140724,0.25,0.79,0.8,0.0,0.49,0.51,0.27,0.25,0.0,0.26,0.25,0.26,0.01,0.52,0.54
1.69,2,0.3603411513859276,0.25,0.79,0.8,0.0,0.49,0.51,0.27,0.25,0.0,0.26,0.25,0.26,0.01,0.52,0.54
2.26,2,0.4296577946768061,0.11,1.0,1.0,0.01,0.07,0.03,1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.95,0.79
2.26,1,0.5703422053231939,0.11,1.0,1.0,0.01,0.07,0.03,1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.95,0.79
2.53,2,0.45750452079566006,1.0,0.81,0.81,1.0,0.93,0.02,0.56,0.84,0.0,0.84,0.23,0.23,0.14,0.73,0.61
2.53,1,0.5424954792043399,1.0,0.81,0.81,1.0,0.93,0.02,0.56,0.84,0.0,0.84,0.23,0.23,0.14,0.73,0.61
1.07,2,0.2628992628992629,0.44,0.28,0.44,0.0,0.2,0.44,0.28,0.81,0.81,0.0,0.81,0.0,0.7,0.44,0.56
1.07,1,0.7371007371007371,0.44,0.28,0.44,0.0,0.2,0.44,0.28,0.81,0.81,0.0,0.81,0.0,0.7,0.44,0.56
1.44,2,0.32432432432432434,0.26,0.66,0.66,0.13,0.17,0.66,0.41,0.0,0.0,0.0,0.13,0.13,0.26,0.41,0.56
1.44,1,0.6756756756756757,0.26,0.66,0.66,0.13,0.17,0.66,0.41,0.0,0.0,0.0,0.13,0.13,0.26,0.41,0.56
0.39,2,0.11504424778761058,0.18,0.04,0.07,0.0,0.1,0.07,0.14,0.04,0.04,0.0,0.04,0.0,0.18,0.18,0.29
0.39,1,0.8849557522123894,0.18,0.04,0.07,0.0,0.1,0.07,0.14,0.04,0.04,0.0,0.04,0.0,0.18,0.18,0.29
1.79,2,0.3736951983298539,0.58,0.34,0.88,0.85,0.22,0.22,0.34,0.58,0.48,1.0,0.22,0.25,0.33,0.88,0.51
1.79,1,0.6263048016701461,0.58,0.34,0.88,0.85,0.22,0.22,0.34,0.58,0.48,1.0,0.22,0.25,0.33,0.88,0.51
1.03,1,0.7444168734491315,0.3,0.44,0.39,0.5,0.0,0.39,0.22,0.04,0.04,0.0,0.55,0.5,0.09,0.18,0.48
1.03,2,0.25558312655086846,0.3,0.44,0.39,0.5,0.0,0.39,0.22,0.04,0.04,0.0,0.55,0.5,0.09,0.18,0.48
