0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.42404673,0.099315144,-0.13251135,0.261645,0.41166312,-0.17658944,-0.3002076,0.07225671,0.46463755,0.5984523,-0.74208266,-0.020540044,-0.33946446,-0.18071766,-0.5096193
0.23098311,0.11405124,0.43082616,-0.044712692,0.251807,0.36132723,0.01948201,0.20516412,0.004461277,0.061419744,-0.21301322,-0.019228932,-0.27077755,0.05042275,-0.41693488
-0.04347525,-0.39494866,0.2823771,0.22046317,0.11699236,0.360525,-0.39450988,-0.17877237,-0.17125167,0.41724855,-0.2117156,0.113378674,-0.6184917,0.51216626,-0.12119134
-0.2796324,0.15078257,-0.039277803,-0.060030207,-0.020830631,0.047491178,-0.1783772,0.2557666,0.4013006,0.006990153,-0.2727719,-0.2991088,-0.65599155,-0.043607198,-0.44030312
-0.3229958,-0.02362609,-0.061751485,-0.1701149,-0.29398707,0.28294045,-0.21117164,-0.34224874,-0.106702805,-0.026457936,0.38829428,0.19627744,0.080562055,-0.1771867,-0.1686458
-0.47222888,0.15170239,-0.42545307,-0.2100792,-0.04113172,-0.27886567,-0.17041406,-0.21615684,0.27694246,-0.18316062,0.67904043,0.22553213,-0.27866492,0.1249403,0.084408306
-0.009746816,0.36273128,0.15444252,-0.23192604,0.27094004,-0.08757131,-0.41241065,-0.2782717,0.14489764,-0.22715665,-0.6158786,-0.45847654,-0.14669687,0.38799122,-0.25243998
-0.22826631,-0.38557634,0.17550862,-0.07656915,0.19442102,-0.030070487,0.2826878,0.20611402,-0.27101246,-0.5317083,-0.15156612,0.04906407,-0.27418166,-0.12439927,0.84397435
-0.2504483,-0.3636032,-0.38087904,-0.24697612,0.4081669,-0.016186118,-0.007738799,0.08283913,0.06833941,0.21888506,0.26403522,0.14119309,-0.3065979,-0.09606683,0.122003675
0.0027911365,-0.33004242,-0.3048282,-0.18617347,0.35181934,-0.20198242,-0.08281541,0.16117948,-0.10553077,0.33449417,0.137452,0.29131436,-0.35287777,-0.03058672,-0.12122622
-0.36598054,-0.22350883,-0.35793674,0.20707262,0.38176692,-0.15100989,0.24658203,0.03449136,-0.13876855,-0.33109093,-0.19487233,0.21899068,-0.12285274,-0.22460587,0.13950026
0.41371262,0.21001196,-0.28553247,-0.035265863,-0.32708642,-0.3621422,-0.014656097,0.3041122,0.049276263,-0.27086213,0.22143632,0.09445572,0.3677379,0.40723646,0.016521037
-0.10195294,0.09407401,0.1829626,-0.281269,0.25761586,0.12586749,-0.34555674,0.40636683,0.10651922,0.0974285,-0.17706609,-0.07711014,-0.25696754,-0.3935438,-0.31049007
-0.48360285,-0.40643734,-0.23381032,-0.035994984,-0.20624298,0.08050759,-0.20007253,-0.131153,0.27516323,-0.28441197,0.18927096,0.05971041,-0.33441,-0.16427146,-0.04387521
-0.028697545,0.42133778,0.2710978,0.18310656,0.29166666,0.16472912,0.10104185,0.2698026,0.41213775,0.5907287,-0.19921176,0.27307308,-0.39379042,0.121343546,-0.07186278
-0.057259295,0.17988925,-0.19657594,-0.5716276,0.6323956,-0.056531474,0.14871305,0.01494685,-0.2224974,-0.30920622,0.0024683408,0.2968602,0.19557492,-0.2420928,-0.29293212
