SIGMA,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.21,0.1,0.1,0.1,0,0.51,0.1,0.41,0,0,0,0,0,0.5,0.1,0.75
0.16,0.1,0.1,0.1,0,0.53,0.1,0.54,0,0,0,0,0,0.54,0.1,0.79
0.14,0.1,0.1,0.1,0,0.56,0.1,0.54,0,0,0,0,0,0.55,0.1,0.8
0.2,0.1,0.1,0.1,0,0.52,0.1,0.41,0,0,0,0,0,0.53,0.1,0.76
0.27,0.1,0.1,0.1,0,0.25,0.1,0.54,0,0,0,0,0,0.24,0.1,0.69
0.25,0.1,0.1,0.1,0,0.4,0.1,0.01,0,0,0,0,0,0.41,0.1,0.71
0.2,0.1,0.1,0.1,0,0.53,0.1,0.24,0,0,0,0,0,0.54,0.1,0.76
0.27,0.1,0.1,0.1,0,0.4,0.1,0.4,0,0,0,0,0,0.41,0.1,0.69
0.14,0.1,0.1,0.1,0,0.56,0.1,0.54,0,0,0,0,0,0.55,0.1,0.8
