0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.77725464,-2.9921095,-2.3339868,0.019619761,-1.1660905,2.1843786,-0.3562219,-1.6684425,4.292722,-2.5511265,0.42820898,0.23590857,2.6589928,-1.6709657,-0.7102975
1.694356,0.67380387,-1.1767901,0.18055058,0.9155356,1.9214281,-0.6495765,-1.9866455,1.1243826,-1.5660121,-0.5703179,0.229777,0.55085933,-1.0211068,-0.40246627
0.6979249,0.48586136,0.6757685,0.5650695,1.0637437,-2.7744734,1.3371117,1.7527468,-2.4339209,0.95271957,0.99894154,0.8375703,-1.0817448,0.97479707,0.4186451
0.26182178,-1.9838833,1.0695288,1.5114735,-0.32074404,-0.38686466,0.009916551,-0.26705062,0.93770003,0.67519283,-0.6296586,-0.49395987,-0.11932093,1.2024984,-0.13598895
1.6147958,1.1150882,-0.1635785,1.3397919,-0.49930543,-0.014200433,0.15243667,-0.8752229,1.0612597,0.030396119,-0.6438398,-1.135984,0.60171616,0.053630084,-0.08342502
-2.3769088,-1.6946212,0.7622394,-1.7642686,-1.8782196,-0.31026343,1.0336276,-0.2786207,0.9230926,-0.43881994,1.7554104,1.591676,0.53006893,1.1526716,-0.32003537
-2.9929624,0.9597547,0.28232154,-4.110459,-2.331095,2.2849457,0.7860457,0.1322676,1.040278,-0.22456154,3.0874872,2.8639445,0.8616867,0.7255247,0.09020163
1.8448287,0.7567351,1.3317275,0.39747322,1.3336915,-1.1151825,0.15160498,-0.66323113,-0.5265804,-0.07020405,-0.9636048,-1.0149467,-0.73619795,1.2375588,-0.36864242
1.4479882,-1.0014769,-0.89355403,1.2599514,2.4234707,-0.5859871,-0.19824727,-0.35848346,0.057987418,-1.7342123,-0.9118488,-0.5216104,0.043787483,-1.1006466,-0.46960405
0.6649926,0.14887747,-0.47217247,0.38500822,-0.27962476,1.6619982,-0.12834299,-0.8901256,1.0642438,-0.47165236,-0.5740351,-0.6755845,0.2957332,-0.40225807,0.36884397
2.0282974,-0.8631842,-0.45848864,2.3214104,1.1296595,-0.21452141,-0.46192825,-0.20474252,0.92725736,0.22557035,-1.2083261,-0.9511033,0.41548648,-0.2763666,-0.09547288
0.18617849,1.6428894,1.7933413,0.23820916,-0.41883728,-3.7916958,1.7060937,1.5670456,-3.4363713,2.0797794,0.62790203,0.18742141,-1.6340941,1.9594468,0.67079496
-1.1254876,-0.45022708,0.17142302,-0.81496054,-2.3296902,-0.80592835,-0.7084707,-0.45108706,0.08015412,0.97068244,-0.0769977,-0.19562188,0.00014875762,0.526568,-0.35757002
-2.3416336,0.3663374,0.98628485,-3.0485194,-1.0770531,-0.59790015,0.7950897,0.4709691,-1.0574456,-0.9623174,1.4728104,0.6785291,-0.57063097,0.6693059,0.15661244
1.5646518,0.8945762,0.23117255,1.5731071,0.27196532,-0.7968202,-0.18717949,0.09180814,-0.9723857,1.5149003,0.069333114,0.8013165,-0.43262944,0.37645862,0.20819083
