TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
-0.1399999999999999,-0.1399999999999999,-0.1399999999999999,0.12880000000000003,1.14,0.9096,-0.1399999999999999,0.12880000000000003,1.14,0.12880000000000003,1.14,1.14,-0.1399999999999999,-0.1399999999999999,0.19280000000000008
1.0,1.0,1.0,0.79,0.0,0.18,1.0,0.79,0.0,0.79,0.0,0.0,1.0,1.0,0.74
0.27,0.27,0.41719999999999996,0.27,0.73,0.7253999999999999,0.27,0.27,0.5782,0.4264,0.73,0.5782,0.27,0.41719999999999996,0.4126
1.0,1.0,0.68,1.0,0.0,0.01,1.0,1.0,0.33,0.66,0.0,0.33,1.0,0.68,0.69
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,0.0,1.0,0.0,0.04,1.0,1.0,1.0,0.04,0.0,1.0,1.0,0.0,0.86
0.10499999999999998,0.10499999999999998,0.7370000000000001,0.8634000000000001,0.895,0.10499999999999998,0.10499999999999998,0.8634000000000001,0.24719999999999998,0.3025,0.895,0.24719999999999998,0.10499999999999998,0.7370000000000001,0.2946
1.0,1.0,0.2,0.04,0.0,1.0,1.0,0.04,0.82,0.75,0.0,0.82,1.0,0.2,0.76
0.09999999999999998,0.09999999999999998,0.9,0.788,0.9,0.17999999999999994,0.09999999999999998,0.788,0.09999999999999998,0.17999999999999994,0.9,0.09999999999999998,0.09999999999999998,0.9,0.2519999999999999
1.0,1.0,0.0,0.14,0.0,0.9,1.0,0.14,1.0,0.9,0.0,1.0,1.0,0.0,0.81
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,0.01,1.0,0.0,0.01,1.0,1.0,1.0,0.01,0.0,1.0,1.0,0.01,0.87
0.41000000000000003,0.41000000000000003,0.5144,0.41000000000000003,0.59,0.5828,0.41000000000000003,0.41000000000000003,0.4838,0.5216,0.59,0.4838,0.41000000000000003,0.5144,0.4658
1.0,1.0,0.42,1.0,0.0,0.04,1.0,1.0,0.59,0.38,0.0,0.59,1.0,0.42,0.69
0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,0.9600000000000001,0.0,1.0,0.9600000000000001,0.0,0.0,0.24
1.0,1.0,1.0,1.0,0.0,0.01,1.0,1.0,0.04,1.0,0.0,0.04,1.0,1.0,0.76
0.16000000000000003,0.16000000000000003,0.7788,0.6155999999999999,0.84,0.3708000000000001,0.16000000000000003,0.6155999999999999,0.16000000000000003,0.4524,0.84,0.16000000000000003,0.16000000000000003,0.7788,0.35040000000000004
1.0,1.0,0.09,0.33,0.0,0.69,1.0,0.33,1.0,0.57,0.0,1.0,1.0,0.09,0.72
