TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.16,0.0,0.05,0.0,0.0,0.16,0.0,0.17,0.06,0.11,0.17,0.11,0.16,0.05,0.28
0.27899999999999997,0.175,0.20750000000000002,0.175,0.175,0.27899999999999997,0.175,0.2855,0.214,0.2465,0.2855,0.2465,0.27899999999999997,0.20750000000000002,0.357
0.4,0.39,0.06,0.33,0.0,0.06,0.02,0.33,0.33,0.0,0.0,0.33,0.39,0.82,0.57
0.495,0.4945,0.478,0.4915,0.475,0.478,0.476,0.4915,0.4915,0.475,0.475,0.4915,0.4945,0.516,0.5035000000000001
0.4482,0.3335,0.315,0.315,0.315,0.4482,0.3335,0.426,0.3372,0.45189999999999997,0.426,0.45189999999999997,0.4482,0.315,0.4889
0.36,0.05,0.0,0.0,0.0,0.36,0.05,0.3,0.06,0.37,0.3,0.37,0.36,0.0,0.47
0.19,0.4,0.4,0.21,0.07,0.4,0.4,0.0,0.0,0.0,0.21,0.21,0.12,0.4,0.43
0.4628,0.488,0.488,0.46520000000000006,0.4484,0.488,0.488,0.44,0.44,0.44,0.46520000000000006,0.46520000000000006,0.4544,0.488,0.4916
0.2,0.02,0.46,0.0,0.0,0.2,0.02,0.22,0.48,0.25,0.22,0.25,0.2,0.46,0.44
0.40700000000000003,0.35119999999999996,0.48760000000000003,0.345,0.345,0.40700000000000003,0.35119999999999996,0.4132,0.4938,0.4225,0.4132,0.4225,0.40700000000000003,0.48760000000000003,0.4814
0.18,0.18,0.18,0.19,0.2,0.39,0.18,0.19,0.0,0.19,0.0,0.0,0.02,0.18,0.34
0.3592,0.3592,0.3592,0.36360000000000003,0.368,0.4516,0.3592,0.36360000000000003,0.28,0.36360000000000003,0.28,0.28,0.28880000000000006,0.3592,0.42960000000000004
0.19,0.19,0.19,0.0,0.0,0.4,0.19,0.2,0.0,0.2,0.2,0.2,0.4,0.02,0.3
0.3698,0.3698,0.3698,0.29,0.29,0.458,0.3698,0.374,0.29,0.374,0.374,0.374,0.458,0.2984,0.416
0.4928,0.4872,0.4872,0.4768,0.46,0.4696,0.4928,0.4768,0.46,0.4768,0.46,0.46,0.4872,0.4928,0.4944
0.41,0.34,0.34,0.21,0.0,0.12,0.41,0.21,0.0,0.21,0.0,0.0,0.34,0.41,0.43
