SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
2.28,1,0.5681818181818182,1,1,1.0,0.79,0,0.18,1,0.79,0.0,0.79,0,0.0,1,1.0,0.74
2.28,2,0.43181818181818177,1,1,1.0,0.79,0,0.18,1,0.79,0.0,0.79,0,0.0,1,1.0,0.74
1.46,1,0.672645739910314,1,1,0.68,1.0,0,0.01,1,1.0,0.33,0.66,0,0.33,1,0.68,0.69
1.46,2,0.32735426008968604,1,1,0.68,1.0,0,0.01,1,1.0,0.33,0.66,0,0.33,1,0.68,0.69
1.0,1,0.75,1,1,0.0,1.0,0,0.04,1,1.0,1.0,0.04,0,1.0,1,0.0,0.86
1.0,2,0.25,1,1,0.0,1.0,0,0.04,1,1.0,1.0,0.04,0,1.0,1,0.0,0.86
1.79,1,0.6263048016701461,1,1,0.2,0.04,0,1.0,1,0.04,0.82,0.75,0,0.82,1,0.2,0.76
1.79,2,0.3736951983298539,1,1,0.2,0.04,0,1.0,1,0.04,0.82,0.75,0,0.82,1,0.2,0.76
1.8,1,0.625,1,1,0.0,0.14,0,0.9,1,0.14,1.0,0.9,0,1.0,1,0.0,0.81
1.8,2,0.375,1,1,0.0,0.14,0,0.9,1,0.14,1.0,0.9,0,1.0,1,0.0,0.81
1.0,1,0.75,1,1,0.01,1.0,0,0.01,1,1.0,1.0,0.01,0,1.0,1,0.01,0.87
1.0,2,0.25,1,1,0.01,1.0,0,0.01,1,1.0,1.0,0.01,0,1.0,1,0.01,0.87
1.18,1,0.7177033492822966,1,1,0.42,1.0,0,0.04,1,1.0,0.59,0.38,0,0.59,1,0.42,0.69
1.18,2,0.2822966507177034,1,1,0.42,1.0,0,0.04,1,1.0,0.59,0.38,0,0.59,1,0.42,0.69
2.0,1,0.6000000000000001,1,1,1.0,1.0,0,0.01,1,1.0,0.04,1.0,0,0.04,1,1.0,0.76
2.0,2,0.3999999999999999,1,1,1.0,1.0,0,0.01,1,1.0,0.04,1.0,0,0.04,1,1.0,0.76
1.68,1,0.641025641025641,1,1,0.09,0.33,0,0.69,1,0.33,1.0,0.57,0,1.0,1,0.09,0.72
1.68,2,0.35897435897435903,1,1,0.09,0.33,0,0.69,1,0.33,1.0,0.57,0,1.0,1,0.09,0.72
