0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-3.0987558,-1.6157719,-4.1083736,1.8846784,-3.11297,2.7657895,-2.32027,-1.6602901,-0.7466883,-1.8562899,1.5334963,1.5345557,-1.8042591,-1.1845077,6.5447607
-0.013851217,-0.6286182,1.8112758,-1.9460102,1.7934499,-2.0726755,-0.6625855,1.6810263,-0.42743108,0.23683418,0.69029737,1.5570176,-0.64598554,-0.83742714,-1.7581114
-0.23486726,-0.6387328,0.94144845,-1.2188088,0.44035557,-0.31736344,-0.08386408,-0.8885392,1.1424938,0.634139,0.119683154,-0.5435648,-1.2479428,-0.14183846,-1.3528976
0.047114182,0.3945163,0.9236288,-1.0480189,0.9814149,-0.69077134,-0.14724879,0.12686723,0.12883237,-0.2863494,1.4701208,-0.32712692,-1.4671333,-0.36879212,-2.1934733
0.52037734,1.4218817,-0.815688,-0.21232681,-0.32993597,1.7884272,-0.1697322,-1.0565945,0.7878298,0.54160774,-0.3211747,-0.6121042,0.8684583,-0.13613164,0.57123494
-1.3392746,0.070170045,-0.105593,-0.62340325,-1.1083468,-0.7451834,0.0038856037,0.78802264,-0.7232497,-0.11449495,0.5185874,0.059052154,-0.06701515,1.046174,0.011999338
1.1974119,-1.1258813,0.063697934,0.31447962,1.0379441,-1.6444985,0.4838611,0.10960289,0.7900308,0.53037053,0.28463084,-0.00084560306,-0.42396918,-0.24564168,1.4321798
0.16270265,-0.51222825,0.23584287,0.14762531,0.45153034,0.18766513,-0.16533743,0.5247212,1.5357233e-05,-0.49906042,0.96559966,0.535215,0.25309092,-0.28068873,-0.50662404
-0.19760673,-0.21136178,-0.40356353,0.14156668,0.16830835,0.042613715,0.3242085,-0.4487356,0.1831124,0.28973067,0.2757206,-0.48637098,0.090265624,-0.343485,-0.037269328
0.21099791,0.14984891,0.33801845,0.6070606,0.070095725,0.9102414,-0.1514004,-0.78825337,0.04406407,-0.9496605,-0.75559556,-0.3451049,1.2949619,-0.28286818,-1.03631
0.18651734,0.21324296,0.6071254,-0.58130723,0.32376847,0.55942,0.265669,0.20032711,-0.093667835,-0.35964707,-1.2264327,0.21013573,0.014380907,0.052415226,-0.4331795
-0.4926251,-0.3772008,-0.5099825,-0.28903404,-0.3553617,-0.69295424,-0.95771235,-0.091991134,-0.4088914,0.32286403,0.47140884,0.51089406,0.08511524,-0.05121943,0.98323244
-0.029413862,0.44377995,-0.05715085,0.057350054,-0.020286135,0.2695246,-0.19803555,0.0405759,0.308942,-0.13752447,-0.8029408,-0.36337617,0.11346821,0.11834697,-0.57572687
-0.7446878,-0.7412771,0.1337192,-1.6974332,0.28952682,-0.31828523,0.16395263,0.72907823,0.20808299,0.77523285,1.2714864,-0.4490437,-0.843095,0.47160846,1.0665855
0.32961488,0.283627,-0.03149841,0.018150667,-0.38618782,0.10750213,-0.5434822,0.26024497,-0.22480991,0.33830917,-0.79264057,-0.14471345,0.14655009,-0.042884495,0.38304365
1.0476539,-0.27851126,0.055391103,0.37674105,0.5944255,0.6364618,0.41620165,0.07289638,0.78690237,-0.25737897,-0.3891717,-0.11977344,-0.31326413,0.69907635,0.21825463
