TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.4118,0.4496,0.4979,0.395,0.395,0.4181,0.44120000000000004,0.4244,0.4433,0.4748,0.4244,0.4748,0.4181,0.4916,0.4832
0.08,0.26,0.49,0.0,0.0,0.11,0.22,0.14,0.23,0.38,0.14,0.38,0.11,0.46,0.42
0.01,0.15,0.05,0.0,0.36,0.62,0.85,0.83,0.2,0.57,0.83,0.57,1.0,0.56,0.62
0.2305,0.3075,0.2525,0.225,0.423,0.566,0.6925,0.6815,0.335,0.5385,0.6815,0.5385,0.775,0.533,0.566
0.15,0.0,0.01,0.09,0.19,1.0,1.0,1.0,0.01,1.0,0.96,0.95,0.69,1.0,0.77
0.2585,0.155,0.16190000000000002,0.21710000000000002,0.2861,0.845,0.845,0.845,0.16190000000000002,0.845,0.8174,0.8105,0.6311,0.845,0.6863
0.5,1.0,0.31,0.27,1.0,0.03,0.3,0.96,0.61,0.27,0.61,0.0,0.74,0.5,0.59
0.5,0.255,0.5931,0.6127,0.255,0.7303,0.598,0.27460000000000007,0.4461,0.6127,0.4461,0.745,0.3824,0.5,0.4559
0.04,0.49,0.49,0.0,0.0,0.04,0.46,0.45,0.0,0.45,0.45,0.45,0.04,0.49,0.53
0.4908,0.4998,0.4998,0.49,0.49,0.4908,0.4992,0.499,0.49,0.499,0.499,0.499,0.4908,0.4998,0.5006
0.16629999999999998,0.19469999999999998,0.15209999999999999,0.145,0.5781,0.855,0.855,0.8195,0.1876,0.855,0.8195,0.855,0.3722,0.855,0.6704
0.03,0.07,0.01,0.0,0.61,1.0,1.0,0.95,0.06,1.0,0.95,1.0,0.32,1.0,0.74
