TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.1182,0.0933,0.0933,0.1099,0.085,0.0933,0.0933,0.085,0.085,0.085,0.1099,0.1099,0.1182,0.0933,0.2095
0.04,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.03,0.04,0.01,0.15
0.455,0.5075000000000001,0.4475,0.4385,0.4355,0.4325,0.47150000000000003,0.497,0.4805,0.4385,0.4805,0.425,0.437,0.455,0.4925
0.2,0.55,0.15,0.09,0.07,0.05,0.31,0.48,0.37,0.09,0.37,0.0,0.08,0.2,0.45
0.257,0.365,0.28400000000000003,0.23,0.23540000000000003,0.2462,0.3164,0.34340000000000004,0.3056,0.26780000000000004,0.34340000000000004,0.26780000000000004,0.2516,0.2408,0.4028
0.05,0.25,0.1,0.0,0.01,0.03,0.16,0.21,0.14,0.07,0.21,0.07,0.04,0.02,0.32
0.46709999999999996,0.5056,0.48950000000000005,0.465,0.47619999999999996,0.47340000000000004,0.5203,0.5167999999999999,0.4776,0.5,0.5167999999999999,0.5,0.46709999999999996,0.5028,0.5042
0.03,0.58,0.35,0.0,0.16,0.12,0.79,0.74,0.18,0.5,0.74,0.5,0.03,0.54,0.56
0.17170000000000002,0.2454,0.2454,0.165,0.165,0.17170000000000002,0.2454,0.23870000000000002,0.165,0.23870000000000002,0.23870000000000002,0.23870000000000002,0.17170000000000002,0.2454,0.3392
0.01,0.12,0.12,0.0,0.0,0.01,0.12,0.11,0.0,0.11,0.11,0.11,0.01,0.12,0.26
0.13,0.13,0.05,0.08,0.06,0.05,0.07,0.08,0.08,0.0,0.0,0.08,0.07,0.05,0.18
0.2447,0.2447,0.1895,0.2102,0.1964,0.1895,0.2033,0.2102,0.2102,0.155,0.155,0.2102,0.2033,0.1895,0.2792
0.39,0.98,1.0,0.0,0.0,0.47,0.98,0.43,0.09,0.53,0.43,0.53,0.47,0.12,0.63
0.6441,-0.12880000000000003,-0.15500000000000003,1.155,1.155,0.5393,-0.12880000000000003,0.5917,1.0371000000000001,0.46069999999999994,0.5917,0.46069999999999994,0.5393,0.9978,0.3297
0.04,0.04,0.01,0.03,0.0,0.01,0.04,0.03,0.03,0.0,0.0,0.03,0.04,0.01,0.14
0.12279999999999999,0.12279999999999999,0.0982,0.1146,0.09,0.0982,0.12279999999999999,0.1146,0.1146,0.09,0.09,0.1146,0.12279999999999999,0.0982,0.2048
0.01,0.88,0.38,0.04,0.33,1.0,0.13,0.13,0.39,0.55,0.09,0.5,0.55,0.48,0.6
0.5832999999999999,0.4354,0.5204,0.5782,0.5288999999999999,0.41500000000000004,0.5629,0.5629,0.5186999999999999,0.4915,0.5697,0.5,0.4915,0.5034,0.483
0.34019999999999995,0.4252,0.4252,0.37760000000000005,0.4558,0.5442,0.381,0.4388,0.33,0.4388,0.3912,0.3912,0.6462,0.381,0.517
0.03,0.28,0.28,0.14,0.37,0.63,0.15,0.32,0.0,0.32,0.18,0.18,0.93,0.15,0.55
0.01,0.53,0.53,0.21,0.22,0.04,0.67,0.49,0.0,0.49,0.73,0.73,0.04,0.74,0.56
0.5245,0.4985,0.4985,0.5145000000000001,0.514,0.523,0.4915,0.5005,0.525,0.5005,0.4885,0.4885,0.523,0.488,0.497
0.3089,0.4376,0.3206,0.3206,0.4688,0.5273,0.6950000000000001,0.6950000000000001,0.4571,0.5039,0.6950000000000001,0.5234,0.36739999999999995,0.5312,0.5546
0.01,0.34,0.04,0.04,0.42,0.57,1.0,1.0,0.39,0.51,1.0,0.56,0.16,0.58,0.64
0.01,0.05,0.27,0.0,0.36,0.58,0.58,0.52,0.23,0.27,0.52,0.27,1.0,0.26,0.57
0.23540000000000003,0.257,0.3758,0.23,0.4244,0.5432,0.5432,0.5108,0.3542,0.3758,0.5108,0.3758,0.77,0.3704,0.5378
0.31,0.64,0.89,0.0,0.03,1.0,0.25,0.26,0.17,0.09,0.26,0.09,1.0,0.21,0.72
0.6729,0.3726,0.1451,0.955,0.9277,0.04500000000000004,0.7275,0.7183999999999999,0.8002999999999999,0.8731,0.7183999999999999,0.8731,0.04500000000000004,0.7639,0.29980000000000007
