TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.15680000000000005,-0.15999999999999992,0.06440000000000012,1.094,1.16,1.1203999999999998,-0.08079999999999976,-0.15999999999999992,0.9223999999999999,-0.0015999999999999348,-0.15999999999999992,0.09079999999999999,1.1467999999999998,1.1072,0.17000000000000004
0.76,1.0,0.83,0.05,0.0,0.03,0.94,1.0,0.18,0.88,1.0,0.81,0.01,0.04,0.75
1.064,-0.10000000000000009,-0.10000000000000009,1.1,1.064,0.17599999999999993,1.076,0.896,1.1,0.896,0.896,0.896,0.236,0.8600000000000001,0.10399999999999998
0.03,1.0,1.0,0.0,0.03,0.77,0.02,0.17,0.0,0.17,0.17,0.17,0.72,0.2,0.83
0.5121,0.47140000000000004,0.44830000000000003,0.445,0.445,0.5011,0.467,0.4736,0.46810000000000007,0.4967,0.4736,0.4967,0.5011,0.4593,0.4956
0.61,0.24,0.03,0.0,0.0,0.51,0.2,0.26,0.21,0.47,0.26,0.47,0.51,0.13,0.46
0.72,0.58,1.0,0.21,0.09,0.58,0.17,0.0,0.39,0.39,0.21,0.18,0.72,0.94,0.6
0.2272,0.40080000000000005,-0.1200000000000001,0.8596000000000001,1.0084000000000002,0.40080000000000005,0.9092,1.12,0.6364,0.6364,0.8596000000000001,0.8968,0.2272,-0.045599999999999974,0.376
0.83,0.47,0.71,0.18,0.0,0.94,0.29,0.39,0.2,0.18,0.2,0.0,0.71,0.83,0.6
0.25250000000000006,0.5225,0.3425,0.74,0.875,0.17000000000000004,0.6575,0.5825,0.7250000000000001,0.74,0.7250000000000001,0.875,0.3425,0.25250000000000006,0.42500000000000004
0.5021,0.4985,0.5021,0.5011,0.5023,0.4978,0.5034,0.5045000000000001,0.5017,0.5011,0.5017,0.505,0.4992,0.5021,0.5008
0.29,0.65,0.29,0.39,0.27,0.72,0.16,0.05,0.33,0.39,0.33,0.0,0.58,0.29,0.42
0.22,0.18,0.26,0.9,0.0,0.38,0.57,0.19,0.46,0.68,0.66,0.18,0.45,0.04,0.52
0.4272,0.4168,0.4376,0.6040000000000001,0.37,0.4688,0.5182,0.4194,0.4896,0.5468,0.5416,0.4168,0.487,0.3804,0.5052
0.4625,0.4225,0.4225,0.375,0.41000000000000003,0.4225,0.3925,0.375,0.375,0.375,0.375,0.375,0.4625,0.4625,0.4925
0.35,0.19,0.19,0.0,0.14,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.47
0.493,0.437,0.4818,0.43,0.43,0.493,0.4524,0.48460000000000003,0.49019999999999997,0.556,0.48460000000000003,0.556,0.493,0.4818,0.5056
0.45,0.05,0.37,0.0,0.0,0.45,0.16,0.39,0.43,0.9,0.39,0.9,0.45,0.37,0.54
0.6218,0.5084,0.41600000000000004,0.34040000000000004,0.71,0.6554,0.6932,0.44120000000000004,0.6386,0.34040000000000004,0.6386,0.71,0.41600000000000004,0.6218,0.44120000000000004
0.21,0.48,0.7,0.88,0.0,0.13,0.04,0.64,0.17,0.88,0.17,0.0,0.7,0.21,0.64
0.7,0.15,0.04,0.0,0.2,0.21,0.05,0.38,0.19,0.17,0.38,0.17,0.43,0.48,0.46
0.522,0.4615,0.4494,0.445,0.467,0.46810000000000007,0.4505,0.4868,0.4659,0.4637,0.4868,0.4637,0.4923,0.4978,0.4956
0.64,0.07,0.27,0.0,0.31,0.07,0.2,0.0,0.35,0.35,0.0,0.35,0.4,0.21,0.47
0.5168,0.4484,0.47240000000000004,0.44,0.4772,0.4484,0.464,0.44,0.482,0.482,0.44,0.482,0.488,0.46520000000000006,0.4964
0.31499999999999995,0.6628000000000001,0.4889,0.34829999999999994,0.5962000000000001,0.6332,0.5999000000000001,0.611,0.5111,0.4297,0.43709999999999993,0.6184000000000001,0.5148,0.352,0.4741
1.0,0.06,0.53,0.91,0.24,0.14,0.23,0.2,0.47,0.69,0.67,0.18,0.46,0.9,0.57
0.57,0.38,0.01,0.0,0.71,0.38,0.57,0.0,0.39,0.39,0.0,0.39,0.29,1.0,0.61
0.4958,0.5072,0.5294,0.53,0.4874,0.5072,0.4958,0.53,0.5066,0.5066,0.53,0.5066,0.5126,0.47,0.4934
0.31,0.86,0.13,0.68,0.28,0.06,0.74,0.93,0.7,0.2,0.21,0.47,0.31,0.14,0.54
0.5228,0.4568,0.5444,0.47839999999999994,0.5264,0.5528000000000001,0.47119999999999995,0.44839999999999997,0.476,0.536,0.5348,0.5036,0.5228,0.5432,0.4952
0.62,0.91,0.91,0.56,0.61,0.19,0.69,0.63,0.0,0.63,0.05,0.05,0.16,0.69,0.55
0.3608,0.024399999999999866,0.024399999999999866,0.4303999999999999,0.3724,0.8596000000000001,0.2796,0.34919999999999995,1.08,0.34919999999999995,1.022,1.022,0.8944,0.2796,0.44199999999999995
0.3,0.53,0.53,0.21,0.48,0.53,0.53,0.0,0.0,0.0,0.21,0.21,0.16,0.53,0.47
0.536,0.4946,0.4946,0.5522,0.5036,0.4946,0.4946,0.59,0.59,0.59,0.5522,0.5522,0.5611999999999999,0.4946,0.5054
0.538,0.452,0.538,0.6,0.6,0.538,0.41000000000000003,0.522,0.522,0.6,0.522,0.6,0.538,0.538,0.482
0.31,0.74,0.31,0.0,0.0,0.31,0.95,0.39,0.39,0.0,0.39,0.0,0.31,0.31,0.59
