TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.11289999999999999,0.11289999999999999,0.11289999999999999,0.105,0.5079,0.11289999999999999,0.4289,0.105,0.105,0.105,0.105,0.105,0.5,0.11289999999999999,0.6975
0.01,0.01,0.01,0.0,0.51,0.01,0.41,0.0,0.0,0.0,0.0,0.0,0.5,0.01,0.75
0.08839999999999999,0.08839999999999999,0.08839999999999999,0.08,0.5252,0.08839999999999999,0.5336000000000001,0.08,0.08,0.08,0.08,0.08,0.5336000000000001,0.08839999999999999,0.7436
0.01,0.01,0.01,0.0,0.53,0.01,0.54,0.0,0.0,0.0,0.0,0.0,0.54,0.01,0.79
0.0786,0.0786,0.0786,0.07,0.5516000000000001,0.0786,0.5344,0.07,0.07,0.07,0.07,0.07,0.543,0.0786,0.758
0.01,0.01,0.01,0.0,0.56,0.01,0.54,0.0,0.0,0.0,0.0,0.0,0.55,0.01,0.8
0.108,0.108,0.108,0.1,0.516,0.108,0.428,0.1,0.1,0.1,0.1,0.1,0.524,0.108,0.708
0.01,0.01,0.01,0.0,0.52,0.01,0.41,0.0,0.0,0.0,0.0,0.0,0.53,0.01,0.76
0.1423,0.1423,0.1423,0.135,0.3175,0.1423,0.5292,0.135,0.135,0.135,0.135,0.135,0.31020000000000003,0.1423,0.6386999999999999
0.01,0.01,0.01,0.0,0.25,0.01,0.54,0.0,0.0,0.0,0.0,0.0,0.24,0.01,0.69
0.1325,0.1325,0.1325,0.125,0.42500000000000004,0.1325,0.1325,0.125,0.125,0.125,0.125,0.125,0.4325,0.1325,0.6575
0.01,0.01,0.01,0.0,0.4,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.41,0.01,0.71
0.108,0.108,0.108,0.1,0.524,0.108,0.292,0.1,0.1,0.1,0.1,0.1,0.532,0.108,0.708
0.01,0.01,0.01,0.0,0.53,0.01,0.24,0.0,0.0,0.0,0.0,0.0,0.54,0.01,0.76
0.1423,0.1423,0.1423,0.135,0.42700000000000005,0.1423,0.42700000000000005,0.135,0.135,0.135,0.135,0.135,0.43429999999999996,0.1423,0.6386999999999999
0.01,0.01,0.01,0.0,0.4,0.01,0.4,0.0,0.0,0.0,0.0,0.0,0.41,0.01,0.69
0.0786,0.0786,0.0786,0.07,0.5516000000000001,0.0786,0.5344,0.07,0.07,0.07,0.07,0.07,0.543,0.0786,0.758
0.01,0.01,0.01,0.0,0.56,0.01,0.54,0.0,0.0,0.0,0.0,0.0,0.55,0.01,0.8
