0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.0491652,-0.24292885,0.7059571,-0.38748115,0.69794,-0.123295076,-0.38487542,-0.22444153,-0.7448725,-0.11168767,0.5867204,-0.32819566,-1.2252792,-0.24545974,-0.3655318
0.2096872,0.18499097,0.44201273,0.19697517,0.054837808,-0.23946829,0.6144453,0.2980396,0.5167332,-0.1532034,0.25753498,0.6962337,0.48027253,0.9381461,0.4862363
-0.84472257,-0.70668656,0.5398769,0.7751094,-0.17692383,-1.0269043,-1.1826031,0.50256526,-2.833512,-1.4030228,0.11157812,-2.6760373,-0.9913965,1.0118628,-0.8757647
0.7751447,0.45428926,0.07767234,-0.7682772,-0.5719727,2.1414998,1.0413024,-0.896986,-0.7701291,0.17238522,-0.4024219,-0.6124752,0.8631303,-0.047715373,0.30582818
-1.5659275,-1.1976354,-0.37726575,-1.7972994,-0.2857529,0.2313115,-1.3876187,-1.6974522,0.5821344,-0.32182175,-0.33449084,0.05688759,-1.3474716,-0.5041117,-0.32015333
0.4346614,0.47414953,-0.6643286,-0.24475442,-0.808698,0.4708955,0.6193925,-0.26396537,1.0104065,1.0013607,-0.8729293,0.44067383,0.5724455,-0.9258389,0.3060575
0.3876683,0.10753659,2.1169455,-0.034137838,-1.8105829,-1.6751692,0.8133108,0.2757795,-0.26721102,2.1935215,-1.6241341,-0.81612164,0.2498066,1.9003116,0.56278825
-0.7188457,-1.2670465,0.872952,-0.21479188,0.8312756,0.30556574,-0.4162738,-0.03229793,-0.4543772,1.4380603,0.87470937,-0.025734281,-1.0160543,1.0073813,0.27114898
-0.9076458,-0.6039681,-2.7713952,-0.55037135,1.8509371,2.0860348,-1.1176687,-0.7591997,3.7525995,-0.7247963,2.2152061,3.1339579,-0.85159296,-2.828727,-0.5999938
1.427375,1.7655587,0.9838093,2.0376382,0.2730646,-0.4275559,1.4731128,1.8692892,-1.1267215,0.39528856,0.25460494,-0.8782794,1.3356773,0.21894461,-0.02028813
-0.51691806,-0.23969302,-0.35004705,0.88212883,0.6121489,-1.2284036,-0.7104365,0.84075797,2.5308666,0.39436412,0.3340608,1.4322102,-0.60860616,-0.4630087,0.057973575
0.47128624,0.7023658,-0.3780041,-0.1276443,-1.0998276,-1.0109875,0.3367908,-0.09945995,0.6818826,1.4010371,-1.0614258,0.21997732,0.7450335,-0.36332613,0.02203814
0.13230631,0.12789717,0.6944189,0.46607444,-0.86259305,-1.3317009,0.3550078,0.42726743,-2.0498228,-0.17049056,-1.5588728,-1.6220509,0.26629707,0.95645905,0.52338773
-0.110833414,0.13846384,0.36555836,0.687625,-0.07864616,-0.062025715,-0.27562374,0.4244151,-2.1534677,0.13611937,-0.048598718,-2.2287853,-0.06928749,0.34185085,-0.45487094
1.1491691,1.290745,0.08912366,0.0149476165,0.14340675,-0.08991217,1.0170139,-0.0055598216,0.5950453,0.41781458,0.15227325,0.5298682,1.609206,0.32870176,0.053574022
