SIGMA,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.17,0.04,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.03,0.04,0.01,0.15
0.85,0.2,0.55,0.15,0.09,0.07,0.05,0.31,0.48,0.37,0.09,0.37,0.0,0.08,0.2,0.45
0.46,0.05,0.25,0.1,0.0,0.01,0.03,0.16,0.21,0.14,0.07,0.21,0.07,0.04,0.02,0.32
0.93,0.03,0.58,0.35,0.0,0.16,0.12,0.79,0.74,0.18,0.5,0.74,0.5,0.03,0.54,0.56
0.33,0.01,0.12,0.12,0.0,0.0,0.01,0.12,0.11,0.0,0.11,0.11,0.11,0.01,0.12,0.26
0.31,0.13,0.13,0.05,0.08,0.06,0.05,0.07,0.08,0.08,0.0,0.0,0.08,0.07,0.05,0.18
2.31,0.39,0.98,1.0,0.0,0.0,0.47,0.98,0.43,0.09,0.53,0.43,0.53,0.47,0.12,0.63
0.18,0.04,0.04,0.01,0.03,0.0,0.01,0.04,0.03,0.03,0.0,0.0,0.03,0.04,0.01,0.14
1.17,0.01,0.88,0.38,0.04,0.33,1.0,0.13,0.13,0.39,0.55,0.09,0.5,0.55,0.48,0.6
0.66,0.03,0.28,0.28,0.14,0.37,0.63,0.15,0.32,0.0,0.32,0.18,0.18,0.93,0.15,0.55
1.05,0.01,0.53,0.53,0.21,0.22,0.04,0.67,0.49,0.0,0.49,0.73,0.73,0.04,0.74,0.56
0.61,0.01,0.34,0.04,0.04,0.42,0.57,1.0,1.0,0.39,0.51,1.0,0.56,0.16,0.58,0.64
0.46,0.01,0.05,0.27,0.0,0.36,0.58,0.58,0.52,0.23,0.27,0.52,0.27,1.0,0.26,0.57
1.91,0.31,0.64,0.89,0.0,0.03,1.0,0.25,0.26,0.17,0.09,0.26,0.09,1.0,0.21,0.72
0.79,0.08,0.26,0.49,0.0,0.0,0.11,0.22,0.14,0.23,0.38,0.14,0.38,0.11,0.46,0.42
0.45,0.01,0.15,0.05,0.0,0.36,0.62,0.85,0.83,0.2,0.57,0.83,0.57,1.0,0.56,0.62
0.31,0.15,0.0,0.01,0.09,0.19,1.0,1.0,1.0,0.01,1.0,0.96,0.95,0.69,1.0,0.77
1.49,0.5,1.0,0.31,0.27,1.0,0.03,0.3,0.96,0.61,0.27,0.61,0.0,0.74,0.5,0.59
0.98,0.04,0.49,0.49,0.0,0.0,0.04,0.46,0.45,0.0,0.45,0.45,0.45,0.04,0.49,0.53
0.29,0.03,0.07,0.01,0.0,0.61,1.0,1.0,0.95,0.06,1.0,0.95,1.0,0.32,1.0,0.74
