SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.62,1.0,0.8287292817679559,0.38,0.06,0.19,0.18,0.0,0.19,0.06,0.12,0.12,0.0,0.31,0.18,0.38,0.19,0.36
0.62,2.0,0.1712707182320441,0.38,0.06,0.19,0.18,0.0,0.19,0.06,0.12,0.12,0.0,0.31,0.18,0.38,0.19,0.36
0.36,1.0,0.8928571428571428,0.02,0.01,0.01,0.0,0.54,0.18,0.15,0.18,0.0,0.18,0.18,0.18,0.31,0.15,0.46
0.36,2.0,0.1071428571428572,0.02,0.01,0.01,0.0,0.54,0.18,0.15,0.18,0.0,0.18,0.18,0.18,0.31,0.15,0.46
0.29,1.0,0.9118541033434651,0.02,0.01,0.01,0.1,0.0,0.06,0.01,0.05,0.0,0.05,0.16,0.16,0.16,0.14,0.3
0.29,2.0,0.08814589665653494,0.02,0.01,0.01,0.1,0.0,0.06,0.01,0.05,0.0,0.05,0.16,0.16,0.16,0.14,0.3
0.56,1.0,0.8426966292134831,0.17,0.1,0.16,0.19,0.0,0.03,0.1,0.13,0.06,0.19,0.33,0.4,0.22,0.61,0.44
0.56,2.0,0.1573033707865169,0.17,0.1,0.16,0.19,0.0,0.03,0.1,0.13,0.06,0.19,0.33,0.4,0.22,0.61,0.44
0.33,1.0,0.9009009009009008,0.02,0.04,0.04,0.16,0.0,0.04,0.04,0.0,0.0,0.0,0.16,0.16,0.11,0.14,0.31
0.33,2.0,0.0990990990990992,0.02,0.04,0.04,0.16,0.0,0.04,0.04,0.0,0.0,0.0,0.16,0.16,0.11,0.14,0.31
0.7,2.0,0.18918918918918926,0.24,0.31,0.17,0.0,0.0,0.04,0.01,0.35,0.13,0.21,0.35,0.21,0.04,0.03,0.41
0.7,1.0,0.8108108108108107,0.24,0.31,0.17,0.0,0.0,0.04,0.01,0.35,0.13,0.21,0.35,0.21,0.04,0.03,0.41
0.76,2.0,0.2021276595744681,0.15,0.32,0.26,0.0,0.16,0.32,0.54,0.0,0.06,0.06,0.0,0.06,0.54,0.09,0.53
0.76,1.0,0.7978723404255319,0.15,0.32,0.26,0.0,0.16,0.32,0.54,0.0,0.06,0.06,0.0,0.06,0.54,0.09,0.53
0.31,2.0,0.09365558912386707,0.02,0.01,0.06,0.0,0.16,0.18,0.32,0.18,0.06,0.12,0.18,0.12,0.02,0.09,0.33
0.31,1.0,0.9063444108761329,0.02,0.01,0.06,0.0,0.16,0.18,0.32,0.18,0.06,0.12,0.18,0.12,0.02,0.09,0.33
1.03,1.0,0.7444168734491315,0.68,0.23,0.1,0.82,0.0,0.1,0.23,0.34,0.34,0.0,0.4,0.82,0.68,0.1,0.6
1.03,2.0,0.25558312655086846,0.68,0.23,0.1,0.82,0.0,0.1,0.23,0.34,0.34,0.0,0.4,0.82,0.68,0.1,0.6
0.53,2.0,0.15014164305949018,0.22,0.1,0.16,0.0,0.0,0.22,0.1,0.33,0.06,0.4,0.33,0.4,0.22,0.16,0.37
0.53,1.0,0.8498583569405098,0.22,0.1,0.16,0.0,0.0,0.22,0.1,0.33,0.06,0.4,0.33,0.4,0.22,0.16,0.37
0.65,1.0,0.821917808219178,0.21,0.21,0.21,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41
0.65,2.0,0.17808219178082196,0.21,0.21,0.21,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41
0.76,1.0,0.7978723404255319,0.25,0.03,0.51,0.0,0.21,0.25,0.15,0.22,0.48,0.25,0.22,0.25,0.04,0.51,0.41
0.76,2.0,0.2021276595744681,0.25,0.03,0.51,0.0,0.21,0.25,0.15,0.22,0.48,0.25,0.22,0.25,0.04,0.51,0.41
0.39,1.0,0.8849557522123894,0.04,0.14,0.14,0.0,0.12,0.36,0.17,0.21,0.0,0.21,0.21,0.21,0.24,0.17,0.3
0.39,2.0,0.11504424778761058,0.04,0.14,0.14,0.0,0.12,0.36,0.17,0.21,0.0,0.21,0.21,0.21,0.24,0.17,0.3
0.41,2.0,0.12023460410557185,0.04,0.18,0.18,0.0,0.25,0.04,0.18,0.22,0.0,0.22,0.22,0.22,0.21,0.18,0.28
0.41,1.0,0.8797653958944281,0.04,0.18,0.18,0.0,0.25,0.04,0.18,0.22,0.0,0.22,0.22,0.22,0.21,0.18,0.28
0.63,2.0,0.17355371900826444,0.18,0.21,0.21,0.22,0.0,0.21,0.21,0.0,0.0,0.0,0.22,0.22,0.44,0.04,0.39
0.63,1.0,0.8264462809917356,0.18,0.21,0.21,0.22,0.0,0.21,0.21,0.0,0.0,0.0,0.22,0.22,0.44,0.04,0.39
0.59,2.0,0.16434540389972152,0.36,0.0,0.18,0.17,0.0,0.18,0.0,0.18,0.18,0.0,0.37,0.17,0.36,0.18,0.39
0.59,1.0,0.8356545961002785,0.36,0.0,0.18,0.17,0.0,0.18,0.0,0.18,0.18,0.0,0.37,0.17,0.36,0.18,0.39
0.57,1.0,0.8403361344537815,0.34,0.0,0.0,0.15,0.0,0.17,0.19,0.17,0.0,0.17,0.38,0.34,0.34,0.0,0.42
0.57,2.0,0.15966386554621848,0.34,0.0,0.0,0.15,0.0,0.17,0.19,0.17,0.0,0.17,0.38,0.34,0.34,0.0,0.42
0.29,2.0,0.08814589665653494,0.01,0.0,0.0,0.1,0.0,0.05,0.17,0.06,0.0,0.06,0.16,0.16,0.16,0.17,0.31
0.29,1.0,0.9118541033434651,0.01,0.0,0.0,0.1,0.0,0.05,0.17,0.06,0.0,0.06,0.16,0.16,0.16,0.17,0.31
0.6,2.0,0.16666666666666663,0.32,0.0,0.0,0.17,0.0,0.18,0.19,0.18,0.0,0.18,0.37,0.37,0.36,0.83,0.56
0.6,1.0,0.8333333333333334,0.32,0.0,0.0,0.17,0.0,0.18,0.19,0.18,0.0,0.18,0.37,0.37,0.36,0.83,0.56
0.34,2.0,0.10179640718562866,0.01,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.15,0.17,0.37
0.34,1.0,0.8982035928143713,0.01,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.15,0.17,0.37
0.62,2.0,0.1712707182320441,0.38,0.06,0.18,0.0,0.0,0.38,0.06,0.32,0.12,0.19,0.32,0.19,0.38,0.18,0.38
0.62,1.0,0.8287292817679559,0.38,0.06,0.18,0.0,0.0,0.38,0.06,0.32,0.12,0.19,0.32,0.19,0.38,0.18,0.38
0.2,2.0,0.0625,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.2
0.2,1.0,0.9375,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.2
0.35,2.0,0.10447761194029848,0.16,0.0,0.05,0.0,0.0,0.16,0.0,0.17,0.06,0.11,0.17,0.11,0.16,0.05,0.28
0.35,1.0,0.8955223880597015,0.16,0.0,0.05,0.0,0.0,0.16,0.0,0.17,0.06,0.11,0.17,0.11,0.16,0.05,0.28
0.95,2.0,0.240506329113924,0.4,0.39,0.06,0.33,0.0,0.06,0.02,0.33,0.33,0.0,0.0,0.33,0.39,0.82,0.57
0.95,1.0,0.759493670886076,0.4,0.39,0.06,0.33,0.0,0.06,0.02,0.33,0.33,0.0,0.0,0.33,0.39,0.82,0.57
0.63,1.0,0.8264462809917356,0.36,0.05,0.0,0.0,0.0,0.36,0.05,0.3,0.06,0.37,0.3,0.37,0.36,0.0,0.47
