SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.63,2.0,0.17355371900826444,0.36,0.05,0.0,0.0,0.0,0.36,0.05,0.3,0.06,0.37,0.3,0.37,0.36,0.0,0.47
0.88,2.0,0.2268041237113403,0.19,0.4,0.4,0.21,0.07,0.4,0.4,0.0,0.0,0.0,0.21,0.21,0.12,0.4,0.43
0.88,1.0,0.7731958762886597,0.19,0.4,0.4,0.21,0.07,0.4,0.4,0.0,0.0,0.0,0.21,0.21,0.12,0.4,0.43
0.69,2.0,0.1869918699186992,0.2,0.02,0.46,0.0,0.0,0.2,0.02,0.22,0.48,0.25,0.22,0.25,0.2,0.46,0.44
0.69,1.0,0.8130081300813008,0.2,0.02,0.46,0.0,0.0,0.2,0.02,0.22,0.48,0.25,0.22,0.25,0.2,0.46,0.44
0.56,2.0,0.1573033707865169,0.18,0.18,0.18,0.19,0.2,0.39,0.18,0.19,0.0,0.19,0.0,0.0,0.02,0.18,0.34
0.56,1.0,0.8426966292134831,0.18,0.18,0.18,0.19,0.2,0.39,0.18,0.19,0.0,0.19,0.0,0.0,0.02,0.18,0.34
0.58,2.0,0.16201117318435754,0.19,0.19,0.19,0.0,0.0,0.4,0.19,0.2,0.0,0.2,0.2,0.2,0.4,0.02,0.3
0.58,1.0,0.8379888268156425,0.19,0.19,0.19,0.0,0.0,0.4,0.19,0.2,0.0,0.2,0.2,0.2,0.4,0.02,0.3
0.92,1.0,0.7653061224489796,0.41,0.34,0.34,0.21,0.0,0.12,0.41,0.21,0.0,0.21,0.0,0.0,0.34,0.41,0.43
0.92,2.0,0.23469387755102045,0.41,0.34,0.34,0.21,0.0,0.12,0.41,0.21,0.0,0.21,0.0,0.0,0.34,0.41,0.43
