SIGMA,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.62,0.38,0.06,0.19,0.18,0.0,0.19,0.06,0.12,0.12,0.0,0.31,0.18,0.38,0.19,0.36
0.36,0.02,0.01,0.01,0.0,0.54,0.18,0.15,0.18,0.0,0.18,0.18,0.18,0.31,0.15,0.46
0.29,0.02,0.01,0.01,0.1,0.0,0.06,0.01,0.05,0.0,0.05,0.16,0.16,0.16,0.14,0.3
0.56,0.17,0.1,0.16,0.19,0.0,0.03,0.1,0.13,0.06,0.19,0.33,0.4,0.22,0.61,0.44
0.33,0.02,0.04,0.04,0.16,0.0,0.04,0.04,0.0,0.0,0.0,0.16,0.16,0.11,0.14,0.31
0.7,0.24,0.31,0.17,0.0,0.0,0.04,0.01,0.35,0.13,0.21,0.35,0.21,0.04,0.03,0.41
0.76,0.15,0.32,0.26,0.0,0.16,0.32,0.54,0.0,0.06,0.06,0.0,0.06,0.54,0.09,0.53
0.31,0.02,0.01,0.06,0.0,0.16,0.18,0.32,0.18,0.06,0.12,0.18,0.12,0.02,0.09,0.33
1.03,0.68,0.23,0.1,0.82,0.0,0.1,0.23,0.34,0.34,0.0,0.4,0.82,0.68,0.1,0.6
0.53,0.22,0.1,0.16,0.0,0.0,0.22,0.1,0.33,0.06,0.4,0.33,0.4,0.22,0.16,0.37
0.65,0.21,0.21,0.21,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41
0.76,0.25,0.03,0.51,0.0,0.21,0.25,0.15,0.22,0.48,0.25,0.22,0.25,0.04,0.51,0.41
0.39,0.04,0.14,0.14,0.0,0.12,0.36,0.17,0.21,0.0,0.21,0.21,0.21,0.24,0.17,0.3
0.41,0.04,0.18,0.18,0.0,0.25,0.04,0.18,0.22,0.0,0.22,0.22,0.22,0.21,0.18,0.28
0.63,0.18,0.21,0.21,0.22,0.0,0.21,0.21,0.0,0.0,0.0,0.22,0.22,0.44,0.04,0.39
0.59,0.36,0.0,0.18,0.17,0.0,0.18,0.0,0.18,0.18,0.0,0.37,0.17,0.36,0.18,0.39
0.57,0.34,0.0,0.0,0.15,0.0,0.17,0.19,0.17,0.0,0.17,0.38,0.34,0.34,0.0,0.42
0.29,0.01,0.0,0.0,0.1,0.0,0.05,0.17,0.06,0.0,0.06,0.16,0.16,0.16,0.17,0.31
0.6,0.32,0.0,0.0,0.17,0.0,0.18,0.19,0.18,0.0,0.18,0.37,0.37,0.36,0.83,0.56
0.34,0.01,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.15,0.17,0.37
0.62,0.38,0.06,0.18,0.0,0.0,0.38,0.06,0.32,0.12,0.19,0.32,0.19,0.38,0.18,0.38
0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.2
0.35,0.16,0.0,0.05,0.0,0.0,0.16,0.0,0.17,0.06,0.11,0.17,0.11,0.16,0.05,0.28
0.95,0.4,0.39,0.06,0.33,0.0,0.06,0.02,0.33,0.33,0.0,0.0,0.33,0.39,0.82,0.57
0.63,0.36,0.05,0.0,0.0,0.0,0.36,0.05,0.3,0.06,0.37,0.3,0.37,0.36,0.0,0.47
0.88,0.19,0.4,0.4,0.21,0.07,0.4,0.4,0.0,0.0,0.0,0.21,0.21,0.12,0.4,0.43
0.69,0.2,0.02,0.46,0.0,0.0,0.2,0.02,0.22,0.48,0.25,0.22,0.25,0.2,0.46,0.44
0.56,0.18,0.18,0.18,0.19,0.2,0.39,0.18,0.19,0.0,0.19,0.0,0.0,0.02,0.18,0.34
0.58,0.19,0.19,0.19,0.0,0.0,0.4,0.19,0.2,0.0,0.2,0.2,0.2,0.4,0.02,0.3
0.92,0.41,0.34,0.34,0.21,0.0,0.12,0.41,0.21,0.0,0.21,0.0,0.0,0.34,0.41,0.43
